Ник Игрока,Имя Персонажа,Раса,Статус на окончание акта
Priesttech,-,Тёмный,Активен
Midzuhico,-,Высший,Активен
AlexDVoid,Алекс Ди Войд,Проклятый/Дух,Мёртв
SWIFT0,-,Тифлинг,Потерян
DarkMac,-,Высший,Активен
DeLTa,-,Сияющий,Активен
PawJustPaw,-,Дварф,Активен
Kierri,-,Кобольд,Активен
YarrikOne,-,Мираж,Потерян
Kurguza,-,Кобольд,Активен
GeroZer0,-,Фелидай,Потерян
Baneblade11,Кощей "Бич Клинков",Моровец,Мёртв
gamer413,-,Человек,Активен
RuinaRuiner,-,Лариан,Активен
Ahmedchik,Джон,Человек,Потерян
Vipo24,-,Фелидай,Потерян
KanarySS,-,Тифлинг,Активен
Mr_Tik,-,Тёмный,Активен
lGreyFoxl,-,Кобольд,Потерян
mermaid,-,Моровец,Потерян
